Name,League,Age,Height(cm),Weight(kg),OVR,Potential,Value,Wage,Minutes Played,Appearances,Saves,Saves Inside the Box,Penalties Save,Clean Sheets,League Rating,International Reputation,Acceleration,Sprint Speed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Vision,Penalties,Composure,Diving,Handling,Kicking,Positioning,Reflexes,Link
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Soriano Oropesa,La Liga 2,23,185,78,71,78,3.2M,4K,1620 ,18 ,41 ,25 ,0 ,6 ,7,1,37,37,43,67,43,66,35,58,25,16,38,28,47,73,66,65,69,74,https://sofifa.com/player/234790/juan-soriano-oropesa/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Perez,Primera Division,30,180,76,71,71,1.2M,6K,2250 ,25 ,0 ,0 ,0 ,10 ,,1,43,40,45,53,56,62,39,59,24,16,46,15,60,73,69,70,71,74,https://sofifa.com/player/234717/sebastian-perez/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Flavio Fonseira Meire,Primera Division,21,191,87,71,71,1.6M,9K,2250 ,25 ,0 ,0 ,0 ,10 ,,1,32,37,39,62,40,58,30,69,15,11,40,16,70,71,70,74,72,69,https://sofifa.com/player/233977/eduardo-flavio-fonseira-meire/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathael Walter Silbeira Caeiro,Primera Division,25,188,83,71,71,1.5M,12K,2250 ,25 ,0 ,0 ,0 ,10 ,,1,15,16,28,78,30,35,13,44,23,17,45,21,55,61,73,69,73,70,https://sofifa.com/player/233974/nathael-walter-silbeira-caeiro/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Maksimenko,Premier League,23,187,82,71,76,2.3M,19K,2610 ,29 ,98 ,66 ,1 ,6 ,7,1,45,51,24,60,38,60,23,65,28,6,35,13,40,73,69,68,70,74,https://sofifa.com/player/233791/alexandr-maksimenko/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Vindahl Jensen,Superliga,23,195,87,71,76,2.3M,5K,450 ,5 ,9 ,4 ,0 ,3 ,7,1,30,30,42,65,45,55,35,65,35,22,55,17,58,73,69,69,69,71,https://sofifa.com/player/231237/peter-vindahl-jensen/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiliam Carlos Santoso Sampaio,Superliga,25,195,91,71,74,1.9M,10K,450 ,5 ,9 ,4 ,0 ,3 ,7,1,37,34,21,61,20,62,31,85,44,28,63,14,54,61,77,76,70,73,https://sofifa.com/player/230332/wiliam-carlos-santoso-sampaio/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailton Nuno Cardenhas Macedo,Superliga,21,193,84,71,71,1.6M,8K,450 ,5 ,9 ,4 ,0 ,3 ,7,1,19,28,30,50,29,35,19,67,25,12,66,25,52,71,72,72,76,72,https://sofifa.com/player/230315/ailton-nuno-cardenhas-macedo/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannik Huth,2. Bundesliga,27,183,80,71,72,1.6M,8K,90 ,1 ,2 ,2 ,0 ,0 ,6,1,59,60,50,68,44,74,32,63,28,25,51,24,41,71,66,75,68,74,https://sofifa.com/player/229692/jannik-huth/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Fraisl,2. Bundesliga,28,187,79,71,73,1.6M,7K,1710 ,19 ,43 ,29 ,0 ,7 ,6,1,42,40,36,69,52,56,39,62,24,26,23,23,24,72,71,70,66,73,https://sofifa.com/player/227497/martin-fraisl/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Kelly,Championship,25,184,85,71,76,2.2M,4K,0 ,0 ,0 ,0 ,0 ,0 ,,1,31,46,53,57,45,48,32,37,31,24,19,13,38,72,69,72,73,71,https://sofifa.com/player/225203/liam-kelly/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Pollersbeck,Ligue 1,26,195,87,71,75,2M,25K,104 ,2 ,6 ,2 ,0 ,1 ,7,1,36,39,22,68,24,51,22,63,20,10,58,22,24,73,66,72,70,73,https://sofifa.com/player/224440/julian-pollersbeck/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Prior,Ligue 2,25,187,86,71,74,1.9M,4K,2880 ,32 ,101 ,60 ,0 ,8 ,6,1,48,55,35,64,51,61,30,78,40,25,48,14,59,71,69,68,71,74,https://sofifa.com/player/222411/jerome-prior/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Haikin,Eliteserien,25,185,68,71,75,2M,3K,1800 ,20 ,51 ,35 ,0 ,7 ,7,1,50,53,52,67,47,60,42,64,27,24,54,18,52,71,68,67,69,73,https://sofifa.com/player/222389/nikita-haikin/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Didillon,Pro League,25,189,88,71,75,2M,6K,2700 ,30 ,14 ,10 ,1 ,5 ,6,1,57,54,55,66,33,57,25,67,27,14,44,22,37,73,67,66,71,74,https://sofifa.com/player/219793/thomas-didillon/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Horvath,Pro League,26,195,83,71,74,1.9M,22K,180 ,2 ,4 ,4 ,0 ,0 ,6,1,48,49,54,72,32,64,30,64,27,10,50,11,31,78,66,57,62,76,https://sofifa.com/player/219736/ethan-horvath/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Monetti,Superliga,32,184,76,71,71,925K,8K,450 ,5 ,5 ,2 ,0 ,1 ,5,1,56,57,48,71,59,70,32,64,41,18,55,24,31,71,69,73,70,71,https://sofifa.com/player/215985/fernando-monetti/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar Rigamonti,Primera B Nacional,34,188,76,71,71,325K,7K,630 ,7 ,0 ,0 ,0 ,5 ,,1,40,41,37,69,48,59,29,69,23,20,34,20,35,70,68,67,72,72,https://sofifa.com/player/215250/cesar-rigamonti/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Ibanez,Superliga,34,180,75,71,71,325K,7K,378 ,5 ,12 ,9 ,0 ,1 ,6,1,38,41,33,69,44,57,33,74,27,21,34,24,43,69,71,65,71,70,https://sofifa.com/player/214983/matias-ibanez/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ignacio Gonzalez,Primera Division,31,187,80,71,71,1M,2K,2610 ,29 ,0 ,0 ,0 ,10 ,,1,48,48,37,65,48,62,41,72,45,20,18,17,63,72,67,61,70,74,https://sofifa.com/player/214730/ignacio-gonzalez/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Selikhov,Premier League,27,190,85,71,73,1.7M,23K,810 ,9 ,17 ,9 ,0 ,1 ,6,1,33,48,35,64,50,63,24,67,21,21,44,19,43,71,67,68,70,76,https://sofifa.com/player/213732/alexandr-selikhov/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markus Kolke,3. Liga,30,187,91,71,71,1.2M,6K,3420 ,38 ,0 ,0 ,0 ,15 ,,1,48,40,39,70,58,51,45,76,18,21,25,29,23,72,68,62,69,74,https://sofifa.com/player/211946/markus-kolke/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunay Guvenc,Super Lig,29,187,85,71,72,1.4M,8K,3414 ,38 ,121 ,76 ,0 ,11 ,7,1,53,58,59,66,47,72,37,68,25,23,44,21,30,70,70,69,69,75,https://sofifa.com/player/211908/gunay-guvenc/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Aurele Caillard,CFA Group B,27,191,87,71,74,1.8M,9K,90 ,1 ,0 ,0 ,0 ,1 ,,1,48,39,34,62,45,54,33,80,25,15,14,18,53,73,67,66,72,72,https://sofifa.com/player/211398/marc-aurele-caillard/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Manuel Garcia,Liga MX,28,181,86,71,73,1.6M,11K,2970 ,33 ,111 ,54 ,1 ,7 ,6,1,49,50,34,65,55,75,43,71,24,30,62,23,49,71,68,67,70,76,https://sofifa.com/player/211033/luis-manuel-garcia/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirko Pigliacelli,Liga 1,28,184,83,71,71,1.3M,8K,3600 ,40 ,0 ,0 ,0 ,21 ,,1,49,47,35,67,37,64,35,60,23,23,59,55,53,69,71,83,70,70,https://sofifa.com/player/205530/mirko-pigliacelli/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,Championship,29,194,82,71,73,1.6M,40K,3690 ,41 ,78 ,45 ,0 ,13 ,6,1,34,24,39,60,40,60,22,40,33,15,38,18,52,71,68,73,73,73,https://sofifa.com/player/204246/marcus-bettinelli/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptiste Reynet,Ligue 1,30,185,90,71,71,1.2M,3K,3420 ,38 ,126 ,83 ,3 ,8 ,6,2,42,45,43,68,28,62,35,68,37,16,35,19,60,71,70,71,72,69,https://sofifa.com/player/204240/baptiste-reynet/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Muller,2. Bundesliga,30,190,90,71,71,1.2M,12K,2970 ,33 ,92 ,48 ,0 ,10 ,6,1,49,46,48,69,43,67,31,76,41,20,10,20,52,71,67,64,71,73,https://sofifa.com/player/202873/kevin-muller/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Mcdermott,Eliteserien,28,185,83,71,74,1.7M,3K,1080 ,12 ,33 ,23 ,0 ,2 ,6,1,43,45,54,67,42,67,18,62,37,17,47,17,49,72,67,61,69,74,https://sofifa.com/player/202810/sean-mcdermott/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Davies,Premier League 2 Divison Two,28,185,80,71,73,1.6M,14K,90 ,1 ,0 ,0 ,0 ,0 ,,1,40,40,39,70,40,46,29,47,31,15,40,23,47,72,68,67,70,72,https://sofifa.com/player/200715/adam-davies/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Marsman,Major League Soccer,30,188,88,71,71,1.2M,4K,1920 ,22 ,67 ,49 ,1 ,5 ,6,1,41,46,41,68,38,61,30,70,28,12,58,24,50,72,67,69,71,73,https://sofifa.com/player/200698/nick-marsman/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Koubek,Bundesliga,28,197,98,71,72,1.5M,12K,0 ,0 ,0 ,0 ,0 ,0 ,,1,39,43,25,70,29,53,33,79,31,11,39,20,54,76,62,67,69,75,https://sofifa.com/player/200332/tomas-koubek/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Leroy,Ligue 2,32,184,74,71,71,925K,4K,3021 ,34 ,79 ,48 ,0 ,12 ,6,1,46,46,37,67,40,55,28,40,25,11,40,22,56,71,70,70,71,71,https://sofifa.com/player/197641/benjamin-leroy/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renan Ribeiro,Primeira Liga,31,193,88,71,71,1M,6K,2300 ,27 ,59 ,37 ,0 ,7 ,,1,55,48,59,71,29,72,30,71,13,26,52,14,48,75,65,64,67,76,https://sofifa.com/player/194781/renan-ribeiro/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Heca,Fortuna Liga,30,187,82,71,71,1.2M,550,90 ,1 ,0 ,0 ,0 ,0 ,,1,48,41,32,65,55,69,42,68,26,26,18,24,56,73,71,64,70,72,https://sofifa.com/player/193512/milan-heca/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Jansson,Allsvenskan,30,187,82,71,71,1.2M,4K,2700 ,30 ,122 ,76 ,0 ,7 ,7,1,33,34,28,67,42,60,35,60,23,15,47,23,56,72,67,67,70,73,https://sofifa.com/player/190669/oscar-jansson/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sascha Burchert,2. Bundesliga,31,187,78,71,71,1M,12K,2970 ,33 ,83 ,58 ,0 ,7 ,6,1,48,43,41,65,31,63,32,65,32,18,18,17,36,70,70,68,72,71,https://sofifa.com/player/189061/sascha-burchert/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Gonzalez,Liga MX,30,183,83,71,71,1.2M,21K,2970 ,33 ,86 ,39 ,1 ,6 ,6,1,32,34,47,68,41,67,45,72,27,19,60,39,52,72,68,70,75,68,https://sofifa.com/player/186990/hugo-gonzalez/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Smithies,Championship,31,189,88,71,71,1M,16K,2790 ,31 ,82 ,45 ,1 ,8 ,6,1,59,59,33,68,44,80,39,66,37,24,44,21,58,72,69,68,71,71,https://sofifa.com/player/184436/alex-smithies/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Sandilands,Premier League,37,180,81,71,71,210K,500,1080 ,12 ,0 ,0 ,0 ,5 ,,1,50,56,57,61,45,75,26,72,41,22,14,37,62,69,71,69,70,75,https://sofifa.com/player/182270/wayne-sandilands/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalei Wang,Super League,32,185,75,71,71,925K,9K,415 ,5 ,17 ,7 ,0 ,1 ,6,1,63,56,52,70,63,71,45,56,35,14,70,22,62,70,69,70,68,72,https://sofifa.com/player/182224/dalei-wang/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Vukovic,Pro League,36,187,95,71,71,210K,4K,2160 ,24 ,2 ,2 ,0 ,4 ,7,1,53,47,41,68,58,68,32,74,41,17,36,37,33,70,69,63,74,72,https://sofifa.com/player/181481/danny-vukovic/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralf Fahrmann,Bundesliga,32,197,98,71,71,925K,7K,1878 ,22 ,97 ,66 ,1 ,3 ,6,2,38,47,39,75,36,71,32,71,36,23,42,21,61,74,66,38,70,77,https://sofifa.com/player/179783/ralf-fahrmann/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Wihby Bracali,Primeira Liga,40,185,78,71,71,210K,5K,0 ,0 ,0 ,0 ,0 ,0 ,,1,37,43,59,67,68,75,31,69,29,21,45,23,47,71,71,60,71,69,https://sofifa.com/player/178571/rafael-wihby-bracali/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Garcia,Superliga,34,182,78,71,71,325K,8K,0 ,0 ,0 ,0 ,0 ,0 ,,1,37,37,38,62,43,63,31,38,17,24,53,19,32,73,68,75,70,74,https://sofifa.com/player/178566/javier-garcia/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruud Boffin,Super Lig,33,196,86,71,71,600K,9K,3150 ,35 ,102 ,58 ,2 ,12 ,6,1,56,57,52,67,33,75,38,70,35,25,41,20,56,72,67,68,69,72,https://sofifa.com/player/178283/ruud-boffin/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regis Gurtner,Ligue 2,34,182,82,71,71,325K,4K,2790 ,31 ,71 ,41 ,0 ,14 ,6,2,39,46,32,74,32,68,38,68,35,13,28,24,59,69,68,71,70,70,https://sofifa.com/player/176994/regis-gurtner/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessy Moulin,Ligue 1,35,184,80,71,71,210K,6K,2610 ,29 ,62 ,38 ,0 ,9 ,6,1,51,52,48,63,56,42,32,54,20,16,29,23,59,71,70,65,72,72,https://sofifa.com/player/172198/jessy-moulin/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp Tschauner,Bundesliga,35,196,100,71,71,210K,18K,0 ,0 ,0 ,0 ,0 ,0 ,,1,38,46,36,72,37,60,23,75,27,9,41,22,38,71,69,66,71,71,https://sofifa.com/player/158777/philipp-tschauner/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz Bialkowski,Championship,33,194,86,71,71,600K,8K,4140 ,46 ,121 ,73 ,1 ,17 ,6,1,42,40,44,70,49,66,39,69,27,19,47,17,61,66,71,67,75,71,https://sofifa.com/player/155871/bartosz-bialkowski/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romain Salin,Ligue 1,36,189,76,71,71,210K,12K,1350 ,15 ,40 ,29 ,0 ,5 ,6,1,28,34,50,72,45,58,38,63,45,26,59,11,60,70,69,68,71,70,https://sofifa.com/player/150477/romain-salin/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Cuellar Sacristan,La Liga 2,37,188,82,71,71,210K,4K,2430 ,27 ,50 ,31 ,1 ,13 ,6,1,52,40,50,70,42,64,38,74,33,21,49,25,56,70,71,69,70,71,https://sofifa.com/player/146952/ivan-cuellar-sacristan/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladan Kovacevic,Premier Liga,23,192,81,70,78,3.1M,3K,2520 ,28 ,0 ,0 ,0 ,13 ,,1,33,42,38,54,37,64,18,59,24,8,55,11,56,74,66,68,71,74,https://sofifa.com/player/263032/vladan-kovacevic/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vasilj,Premier League,25,193,89,70,74,1.7M,8K,1336 ,16 ,0 ,0 ,0 ,8 ,,1,35,30,40,68,23,64,21,72,30,15,42,16,55,68,66,64,71,71,https://sofifa.com/player/262956/nikola-vasilj/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zivko Zivkovic,Super League,32,194,87,70,70,800K,600,1620 ,18 ,0 ,0 ,0 ,7 ,,1,30,28,55,64,26,60,25,72,35,7,26,15,54,70,67,67,71,72,https://sofifa.com/player/251673/zivko-zivkovic/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Eissa,Uae League,31,179,73,70,70,850K,550,2160 ,24 ,0 ,0 ,0 ,7 ,,1,51,46,56,69,53,73,27,46,18,13,50,19,49,70,65,58,69,76,https://sofifa.com/player/247072/khalid-eissa/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ignacio Pena Sotorres,La Liga,22,184,78,70,79,3.1M,34K,0 ,0 ,0 ,0 ,0 ,0 ,,1,33,38,49,72,51,64,27,54,17,6,39,17,38,67,69,76,66,70,https://sofifa.com/player/246139/ignacio-pena-sotorres/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogan Alemdar,Super Lig,18,189,73,70,79,2.9M,2K,2520 ,28 ,90 ,50 ,2 ,9 ,7,1,38,39,35,65,42,56,33,65,19,6,45,10,59,71,69,68,69,70,https://sofifa.com/player/245822/dogan-alemdar/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton Alvarez,Superliga,32,185,86,70,70,800K,6K,360 ,4 ,7 ,5 ,0 ,3 ,7,1,35,33,39,67,39,71,23,73,45,15,47,11,39,71,65,65,73,71,https://sofifa.com/player/244987/milton-alvarez/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohei Takaoka,J-League,25,181,72,70,73,1.6M,5K,1440 ,16 ,0 ,0 ,0 ,3 ,,1,21,26,33,64,41,51,18,61,21,14,32,17,21,71,69,65,68,73,https://sofifa.com/player/244656/yohei-takaoka/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Petersen,Premier League,27,185,75,70,73,1.6M,500,946 ,11 ,0 ,0 ,0 ,5 ,,1,51,50,31,60,52,62,35,51,35,12,40,27,51,67,71,68,69,74,https://sofifa.com/player/242934/brandon-petersen/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarten Vandevoordt,Pro League,19,190,79,70,84,3.3M,3K,1440 ,16 ,32 ,22 ,2 ,4 ,7,1,40,39,46,68,48,60,32,60,14,11,40,15,52,73,70,65,63,73,https://sofifa.com/player/242879/maarten-vandevoordt/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Dahmen,Bundesliga,23,188,83,70,79,3.1M,8K,270 ,3 ,11 ,7 ,0 ,0 ,6,1,47,43,52,66,56,75,31,48,20,13,34,11,33,73,65,69,67,74,https://sofifa.com/player/242818/finn-dahmen/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frantisek Plach,Ekstraklasa,29,192,80,70,70,1.1M,5K,2700 ,30 ,0 ,0 ,0 ,12 ,,1,35,29,39,70,53,62,19,60,28,8,55,10,59,70,69,66,68,71,https://sofifa.com/player/242514/frantisek-plach/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alireza Beiranvand,Pro League,28,196,85,70,72,1.4M,9K,845 ,10 ,4 ,3 ,0 ,4 ,6,1,38,48,32,70,28,54,21,79,28,22,28,17,40,77,61,63,70,70,https://sofifa.com/player/241790/alireza-beiranvand/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Meyer,2. Bundesliga,30,195,90,70,70,1.1M,5K,2908 ,33 ,116 ,76 ,1 ,11 ,7,1,24,27,22,64,29,40,19,68,22,8,36,12,37,71,70,67,70,70,https://sofifa.com/player/241050/alexander-meyer/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panagiotis Tsintotas,Super League,27,194,89,70,71,1.4M,550,1530 ,17 ,0 ,0 ,0 ,5 ,,1,35,25,42,69,30,65,32,70,36,10,57,12,57,71,70,70,64,70,https://sofifa.com/player/239846/panagiotis-tsintotas/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Broll,3. Liga,25,184,85,70,74,1.7M,7K,3420 ,38 ,0 ,0 ,0 ,19 ,,1,15,15,26,70,33,54,25,49,16,18,48,13,60,72,65,48,68,74,https://sofifa.com/player/238674/kevin-broll/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Bulka,La Liga 2,21,199,90,70,78,3.1M,16K,270 ,3 ,7 ,3 ,0 ,1 ,6,1,28,25,42,61,28,43,30,70,25,11,40,18,42,70,69,67,70,72,https://sofifa.com/player/238186/marcin-bulka/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isak Pettersson,Ligue 2,24,181,84,70,77,2.7M,3K,0 ,0 ,0 ,0 ,0 ,0 ,,1,42,47,37,72,52,69,34,54,22,27,60,15,55,72,62,77,66,74,https://sofifa.com/player/236823/isak-pettersson/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Christensen,Bundesliga,22,190,82,70,78,3.1M,14K,0 ,0 ,0 ,0 ,0 ,0 ,,1,37,38,33,58,34,64,42,64,32,13,65,10,47,74,68,63,68,71,https://sofifa.com/player/236758/oliver-christensen/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Paleari,Serie B,28,193,88,70,72,1.4M,2K,0 ,0 ,0 ,0 ,0 ,0 ,,1,31,33,49,61,22,31,30,58,22,12,40,15,55,70,68,67,71,71,https://sofifa.com/player/235740/alberto-paleari/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Antonio Caro Diaz,La Liga 2,27,184,83,70,73,1.6M,5K,3510 ,39 ,90 ,53 ,1 ,12 ,6,1,38,39,45,70,30,68,41,76,22,22,46,32,52,69,67,67,69,71,https://sofifa.com/player/234779/jose-antonio-caro-diaz/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jairo Ralph Farnias Almeida,La Liga 2,21,179,76,70,70,1.4M,7K,3510 ,39 ,90 ,53 ,1 ,12 ,6,1,52,58,66,71,65,74,34,58,35,11,51,14,60,64,68,69,68,75,https://sofifa.com/player/233999/jairo-ralph-farnias-almeida/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Muric,La Liga 2,22,197,81,70,80,3.1M,31K,180 ,2 ,2 ,1 ,0 ,0 ,6,1,44,46,38,57,40,62,29,68,24,18,52,18,60,72,68,70,69,72,https://sofifa.com/player/233164/arijanet-muric/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Malagon,Liga MX,24,181,75,70,76,2M,5K,2296 ,26 ,86 ,57 ,2 ,6 ,7,1,25,24,21,63,44,59,21,51,27,13,28,14,42,70,70,63,70,72,https://sofifa.com/player/232654/luis-malagon/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriano Well Bastos Oliveira,Liga MX,33,185,79,70,70,525K,7K,2296 ,26 ,86 ,57 ,2 ,6 ,7,1,45,46,39,69,59,59,38,45,19,23,50,15,50,72,64,72,70,68,https://sofifa.com/player/230180/adriano-well-bastos-oliveira/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitor Martin Angulho Fancini,Liga MX,25,182,77,70,70,1.3M,6K,2296 ,26 ,86 ,57 ,2 ,6 ,7,1,33,42,39,66,37,77,33,59,39,13,62,24,56,69,73,58,63,74,https://sofifa.com/player/230169/vitor-martin-angulho-fancini/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Ati Zigi,Super League,24,188,87,70,76,2M,4K,3150 ,35 ,101 ,65 ,1 ,11 ,6,1,45,33,38,67,57,59,32,71,22,21,42,24,48,74,63,64,66,74,https://sofifa.com/player/229956/lawrence-ati-zigi/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Desmas,Ligue 2,27,196,87,70,71,1.4M,8K,3192 ,36 ,72 ,42 ,1 ,20 ,6,1,37,35,26,62,37,32,24,60,20,14,41,18,31,72,70,70,67,71,https://sofifa.com/player/229542/arthur-desmas/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Marcelo Da Silva,Primeira Liga,27,186,80,70,73,1.6M,3K,270 ,3 ,3 ,3 ,0 ,0 ,5,1,28,32,48,67,34,62,30,52,25,20,48,18,37,70,66,60,69,73,https://sofifa.com/player/229255/charles-marcelo-da-silva/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamil Grabara,Superliga,22,195,80,70,76,2.1M,7K,2610 ,29 ,69 ,47 ,1 ,9 ,6,1,40,38,38,60,41,52,29,65,26,18,41,17,41,73,68,63,71,72,https://sofifa.com/player/228383/kamil-grabara/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Batalla,Superliga,25,185,87,70,74,1.7M,7K,0 ,0 ,0 ,0 ,0 ,0 ,,1,43,42,37,70,43,58,31,68,26,23,28,23,34,70,67,66,68,71,https://sofifa.com/player/227186/augusto-batalla/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingourou Kamara,Ligue 1,24,196,92,70,75,1.9M,8K,720 ,8 ,19 ,12 ,0 ,2 ,6,1,37,41,28,65,42,79,32,77,17,20,26,22,51,72,69,63,70,70,https://sofifa.com/player/224442/bingourou-kamara/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
