,Name,League,Age,Height(cm),Weight(kg),OVR,Potential,Value,Wage,Minutes Played,Appearances,Saves,Saves Inside the Box,Penalties Save,Clean Sheets,League Rating,International Reputation,Acceleration,Sprint Speed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Vision,Penalties,Composure,Diving,Handling,Kicking,Positioning,Reflexes,Link
593,Kjell Scherpen,Premier League,21,202,85,69,80,2700000.0,12000.0,0,0,0,0,0,0,,1,37,46,37,62,42,42,37,69,25,7,34,12,51,69,66,66,69,70,https://sofifa.com/player/243675/kjell-scherpen/220039/
594,Daniel Martin Fernandez,La Liga,22,187,77,69,77,2700000.0,7000.0,0,0,0,0,0,0,,1,48,46,57,63,43,64,30,66,23,20,44,20,48,69,69,68,66,71,https://sofifa.com/player/241119/daniel-martin-fernandez/220039/
595,Danijel Petkovic,Ligue 1,28,197,90,69,72,1300000.0,9000.0,0,0,0,0,0,0,,1,39,44,34,53,21,34,20,73,21,6,25,19,54,71,68,68,72,71,https://sofifa.com/player/240212/danijel-petkovic/220039/
596,Remy Descamps,Ligue 1,25,196,82,69,72,1400000.0,8000.0,0,0,0,0,0,0,,1,45,39,29,61,24,32,20,63,22,8,23,12,49,73,67,63,68,69,https://sofifa.com/player/234371/remy-descamps/220039/
597,Caio Rodrigo Padricio Resende,Ligue 1,29,186,79,69,69,950000.0,6000.0,0,0,0,0,0,0,,1,22,26,39,60,20,55,39,41,36,13,45,16,34,69,71,46,70,73,https://sofifa.com/player/233975/caio-rodrigo-padricio-resende/220039/
598,Warner Hahn,Pro League,29,190,88,69,70,1100000.0,2000.0,0,0,0,0,0,0,,1,45,50,44,65,49,75,38,77,36,24,53,20,59,72,65,65,65,74,https://sofifa.com/player/222900/warner-hahn/220039/
599,Saturnin Allagbe,Ligue 2,27,189,79,69,70,1200000.0,2000.0,0,0,0,0,0,2,,1,31,28,59,56,32,41,28,45,23,22,62,25,61,69,66,67,69,73,https://sofifa.com/player/218298/saturnin-allagbe/220039/
600,Gibran Lajud,Liga MX,27,189,84,69,71,1300000.0,8000.0,0,0,0,0,0,0,,1,47,44,33,68,64,63,37,67,26,18,46,23,51,69,64,61,72,71,https://sofifa.com/player/217813/gibran-lajud/220039/
601,Per Kristian Bratveit,Eredivisie,25,187,72,69,73,1500000.0,3000.0,0,0,0,0,0,0,,1,45,46,39,69,57,59,38,55,19,23,39,15,50,67,65,72,69,69,https://sofifa.com/player/211021/per-kristian-bratveit/220039/
602,Thomas Dahne,Bundesliga Play-offs,27,193,84,69,70,1200000.0,9000.0,0,0,0,0,0,0,,1,46,48,36,65,41,60,38,68,27,20,53,26,48,74,62,67,65,75,https://sofifa.com/player/210006/thomas-dahne/220039/
603,Jamal Blackman,Championship,27,199,93,69,72,1400000.0,4000.0,0,0,0,0,0,0,,1,23,30,42,59,33,60,25,65,23,10,29,36,40,70,69,63,65,73,https://sofifa.com/player/204846/jamal-blackman/220039/
604,Alexandre Letellier,Ligue 1,30,193,93,69,69,925000.0,21000.0,0,0,0,0,0,0,,2,37,39,32,67,25,57,31,72,25,24,22,20,51,68,67,62,67,72,https://sofifa.com/player/199574/alexandre-letellier/220039/
605,Denis Petric,Ligue 1,33,187,80,69,69,450000.0,9000.0,0,0,0,0,0,0,,1,44,43,34,67,41,57,30,57,19,13,25,22,53,69,63,61,71,72,https://sofifa.com/player/184781/denis-petric/220039/
606,Antonio Rosati,Serie A,38,195,88,69,69,150000.0,10000.0,0,0,0,0,0,0,,1,32,31,36,73,50,68,36,65,22,9,43,25,58,68,69,46,70,68,https://sofifa.com/player/149309/antonio-rosati/220039/
607,Sammy Bossut,Pro League,35,187,80,69,69,150000.0,4000.0,0,0,0,0,0,0,,1,42,47,47,63,42,65,32,60,27,17,49,17,47,67,70,63,73,68,https://sofifa.com/player/142258/sammy-bossut/220039/
608,Alfonso Herrero Peinador,Segunda B - Group 4,27,183,83,68,72,1300000.0,3000.0,990,11,0,0,0,6,,1,47,52,51,67,69,71,32,66,23,22,50,20,53,68,66,60,65,73,https://sofifa.com/player/235312/alfonso-herrero-peinador/220039/
609,Dianzuo Liu,Super League,31,190,81,68,68,650000.0,7000.0,990,19,27,15,1,5,7.0,1,51,49,47,63,53,59,38,65,38,26,63,24,62,66,67,64,69,70,https://sofifa.com/player/224702/dianzuo-liu/220039/
610,Moises Ramirez,Liga Pro,20,188,68,68,80,2500000.0,500.0,917,11,0,0,0,3,,1,35,29,41,65,44,60,29,57,20,14,35,13,35,70,65,63,65,70,https://sofifa.com/player/256161/moises-ramirez/220039/
611,Robin Himmelmann,2. Bundesliga,32,187,80,68,68,600000.0,4000.0,900,10,26,18,1,0,6.0,1,33,34,44,68,44,68,29,61,21,22,39,20,48,69,63,59,66,71,https://sofifa.com/player/208679/robin-himmelmann/220039/
612,Erce Kardesler,Super Lig,27,184,79,68,68,925000.0,8000.0,90,1,1,0,0,0,6.0,1,40,42,26,64,33,60,27,55,23,14,31,13,26,69,63,62,68,72,https://sofifa.com/player/252081/erce-kardesler/220039/
613,Josep Martinez Riera,Bundesliga,23,191,78,68,76,2300000.0,14000.0,90,1,2,1,0,0,6.0,1,24,30,32,54,22,37,42,58,24,11,52,18,42,70,68,64,67,69,https://sofifa.com/player/243311/josep-martinez-riera/220039/
614,Josef Bursik,Premier League 2 Divison Two,20,187,75,68,79,2300000.0,6000.0,90,1,0,0,0,1,,1,40,40,40,65,63,69,35,59,30,19,36,53,41,67,66,66,65,69,https://sofifa.com/player/240784/josef-bursik/220039/
615,Fabian Bredlow,Bundesliga,26,190,89,68,70,1100000.0,8000.0,90,1,8,3,0,0,8.0,1,41,36,50,68,39,68,20,62,18,11,28,30,41,70,66,62,63,71,https://sofifa.com/player/223603/fabian-bredlow/220039/
616,Christian Walton,Premier League 2 Division One,25,195,72,68,70,1200000.0,4000.0,90,1,0,0,0,0,,1,37,33,32,65,29,51,28,52,20,11,42,23,42,70,68,64,65,69,https://sofifa.com/player/206561/christian-walton/220039/
617,Mark Gillespie,Premier League 2 Divison Two,29,192,83,68,70,1000000.0,12000.0,90,1,0,0,0,0,,1,34,35,37,59,53,69,25,66,26,20,42,19,50,70,66,65,68,71,https://sofifa.com/player/198039/mark-gillespie/220039/
618,David Button,Premier League 2 Divison Two,32,191,87,68,68,600000.0,12000.0,90,1,0,0,0,0,,1,55,52,50,64,45,58,35,40,12,24,41,11,61,70,67,65,65,68,https://sofifa.com/player/173533/david-button/220039/
619,Yan Wu,Super League,32,191,82,68,68,600000.0,5000.0,796,17,16,9,0,2,6.0,1,54,43,61,63,63,63,37,57,37,24,56,15,62,71,64,61,66,69,https://sofifa.com/player/182047/yan-wu/220039/
620,Lee Nicholls,League One,28,191,85,68,70,1000000.0,4000.0,630,7,10,6,0,1,6.0,1,40,42,42,62,38,64,29,55,26,9,40,23,44,68,67,65,67,70,https://sofifa.com/player/198285/lee-nicholls/220039/
621,Nicolai Larsen,Ligue 2,30,187,83,68,68,800000.0,4000.0,540,6,11,8,0,2,6.0,1,44,46,43,60,39,60,32,64,20,23,66,19,64,66,67,70,68,69,https://sofifa.com/player/200209/nicolai-larsen/220039/
622,Luke Daniels,Championship,33,195,90,68,68,400000.0,9000.0,540,6,9,7,0,1,6.0,1,47,52,64,63,52,73,37,57,32,24,42,41,60,69,64,67,64,75,https://sofifa.com/player/184630/luke-daniels/220039/
623,Dayne St Clair,Major League Soccer,24,190,75,68,74,1500000.0,2000.0,450,5,12,9,1,0,6.0,1,27,26,39,62,21,30,26,47,27,9,38,10,39,68,62,53,66,76,https://sofifa.com/player/247228/dayne-st-clair/220039/
624,Daniel Cerantula Fuzato,Serie A,23,190,86,68,74,1500000.0,11000.0,450,5,19,13,0,2,7.0,1,31,20,32,64,20,37,22,55,17,12,52,21,52,65,67,62,70,69,https://sofifa.com/player/244363/daniel-cerantula-fuzato/220039/
625,Luis Alberto Garcia,Segunda B - Playoffs,23,190,81,68,76,2300000.0,2000.0,450,5,0,0,0,3,,1,51,55,70,65,41,70,45,51,28,18,30,20,43,68,66,64,68,70,https://sofifa.com/player/235999/luis-alberto-garcia/220039/
626,Lucas Acosta,Superliga,26,187,84,68,73,1400000.0,5000.0,360,4,17,10,0,1,7.0,1,64,62,62,52,62,68,44,74,20,28,26,25,34,67,69,68,66,72,https://sofifa.com/player/220624/lucas-acosta/220039/
627,Aldair Quintana,Liga BetPlay,26,195,92,68,71,1200000.0,850.0,3466,39,57,23,0,18,7.0,1,22,23,22,65,23,40,23,70,20,9,34,13,39,70,63,63,65,70,https://sofifa.com/player/235375/aldair-quintana/220039/
628,Federico Marchetti,Serie A,38,188,83,68,68,130000.0,3000.0,335,4,7,4,0,0,6.0,2,55,50,60,75,51,82,34,62,36,22,45,22,64,65,66,61,69,66,https://sofifa.com/player/139668/federico-marchetti/220039/
629,Johannes Brinkies,3. Liga,28,188,87,68,71,1100000.0,1000.0,3323,37,0,0,0,8,,1,52,52,55,58,52,71,42,66,20,21,57,28,33,67,64,65,67,76,https://sofifa.com/player/204380/johannes-brinkies/220039/
630,Donovan Leon,Ligue 2,28,187,94,68,69,950000.0,3000.0,3134,36,100,60,2,9,6.0,1,48,46,42,63,53,64,29,79,26,26,40,22,48,67,66,64,66,71,https://sofifa.com/player/205377/donovan-leon/220039/
631,Erwin Mulder,Eredivisie,32,193,88,68,68,600000.0,3000.0,3060,34,106,62,0,10,6.0,1,32,34,40,65,38,75,34,69,31,18,56,25,51,68,67,71,64,70,https://sofifa.com/player/183567/erwin-mulder/220039/
632,Mike Vanhamel,Pro League,31,188,80,68,68,650000.0,4000.0,3060,34,24,18,0,4,6.0,1,42,40,36,61,36,47,24,68,25,26,20,14,32,68,68,74,65,70,https://sofifa.com/player/180337/mike-vanhamel/220039/
633,Andrei Vlad,Liga 1,22,190,85,68,74,1600000.0,4000.0,3016,34,0,0,0,17,,1,38,45,48,60,37,55,33,44,28,19,52,19,48,69,69,71,63,71,https://sofifa.com/player/248018/andrei-vlad/220039/
634,Jeremy Frick,Super League,28,192,90,68,70,1000000.0,6000.0,3001,40,101,72,1,6,6.0,1,42,48,42,67,43,60,28,71,26,19,11,15,36,68,67,68,67,68,https://sofifa.com/player/206307/jeremy-frick/220039/
635,Shusaku Nishikawa,J-League,35,183,81,68,68,130000.0,3000.0,2970,34,0,0,0,9,,1,44,40,68,59,56,65,36,64,25,18,67,30,31,67,66,72,68,71,https://sofifa.com/player/217646/shusaku-nishikawa/220039/
636,Leandro Requena,Primera Division,33,186,80,68,68,400000.0,1000.0,2880,32,0,0,0,10,,1,55,65,53,65,60,65,43,59,28,10,70,14,58,68,65,67,69,68,https://sofifa.com/player/251818/leandro-requena/220039/
637,Rene Swete,Admiral Bundesliga,31,186,79,68,68,650000.0,3000.0,2880,32,101,73,0,8,6.0,1,49,44,30,60,54,50,41,64,44,22,14,21,29,69,64,65,68,72,https://sofifa.com/player/229817/rene-swete/220039/
638,Roland Niczuly,Liga 1,25,181,76,68,73,1400000.0,4000.0,2877,32,0,0,0,12,,1,32,31,38,59,45,51,25,52,29,19,62,22,34,67,66,70,68,69,https://sofifa.com/player/236963/roland-niczuly/220039/
639,Jonathan Bond,Major League Soccer,28,193,84,68,70,1000000.0,3000.0,2790,31,121,81,0,4,7.0,1,54,42,56,64,55,71,38,64,37,23,43,17,67,69,66,61,67,69,https://sofifa.com/player/197928/jonathan-bond/220039/
640,Viljar Myhra,Eliteserien,24,194,94,68,73,1500000.0,1000.0,2700,30,105,73,1,3,6.0,1,48,40,30,62,51,51,33,65,33,25,50,24,43,67,66,62,68,72,https://sofifa.com/player/220584/viljar-myhra/220039/
641,Brad Guzan,Major League Soccer,36,193,95,68,68,130000.0,2000.0,2700,30,101,57,0,10,7.0,2,38,37,37,65,47,67,30,63,35,19,51,35,53,65,68,64,70,65,https://sofifa.com/player/164505/brad-guzan/220039/
642,Gavin Bazunu,League One,19,189,78,68,85,2800000.0,11000.0,2610,29,86,57,0,4,6.0,1,29,25,54,60,42,65,16,50,16,9,55,15,38,69,67,69,66,70,https://sofifa.com/player/243585/gavin-bazunu/220039/
643,Thorsten Kirschbaum,Eredivisie,34,195,88,68,68,210000.0,4000.0,2567,29,120,67,1,1,6.0,1,23,28,26,64,39,60,30,68,31,7,29,20,49,71,66,68,65,69,https://sofifa.com/player/182743/thorsten-kirschbaum/220039/
644,Peter Leeuwenburgh,Premier League,27,196,95,68,70,1100000.0,3000.0,2520,28,0,0,0,9,,1,44,43,31,66,38,55,23,65,26,23,21,27,28,72,66,65,64,69,https://sofifa.com/player/223737/peter-leeuwenburgh/220039/
645,Louis Bostyn,Pro League,27,196,86,68,70,1100000.0,5000.0,2520,28,37,28,0,4,7.0,1,34,38,37,60,32,55,24,65,36,13,32,24,35,70,66,61,70,69,https://sofifa.com/player/201847/louis-bostyn/220039/
646,Zander Clark,Premiership,29,193,80,68,70,1000000.0,3000.0,2430,27,41,20,0,8,6.0,1,31,31,60,55,51,50,24,66,37,19,60,24,55,68,65,70,71,71,https://sofifa.com/player/204269/zander-clark/220039/
647,Brian Heras,Liga Pro,26,181,79,68,72,1300000.0,500.0,2385,27,0,0,0,3,,1,55,55,22,68,48,65,20,44,28,12,42,16,40,67,65,68,68,69,https://sofifa.com/player/266214/brian-heras/220039/
648,Marian Tvrdon,Liga Pro,26,194,85,68,69,1100000.0,500.0,2385,27,0,0,0,3,,1,28,32,25,52,23,36,22,72,27,12,40,12,38,69,67,68,70,71,https://sofifa.com/player/263283/marian-tvrdon/220039/
649,Seyed Payam Niazmand,Liga Pro,26,190,84,68,73,1400000.0,3000.0,2385,27,0,0,0,3,,1,25,34,39,63,27,39,21,64,27,7,56,12,49,69,66,65,69,68,https://sofifa.com/player/263238/seyed-payam-niazmand/220039/
650,Kosei Tani,J-League,20,190,82,68,76,2300000.0,3000.0,2250,25,0,0,0,6,,1,58,48,55,61,34,50,20,53,20,13,52,14,39,66,66,68,66,71,https://sofifa.com/player/238526/kosei-tani/220039/
651,Daniel Hernandez,La Liga 2,35,196,89,68,68,130000.0,2000.0,2250,25,44,24,1,12,6.0,1,34,30,48,66,41,75,38,74,40,26,31,25,52,70,67,59,67,68,https://sofifa.com/player/189586/daniel-hernandez/220039/
652,Jamie Young,A-League,35,180,83,68,68,130000.0,750.0,2250,25,93,56,0,6,7.0,1,50,44,45,74,37,64,38,73,43,21,48,20,48,66,66,63,64,70,https://sofifa.com/player/163616/jamie-young/220039/
653,Alejandro Duarte,Primera Division,27,185,76,68,70,1100000.0,500.0,2160,24,51,29,0,7,6.0,1,25,25,23,65,42,59,22,64,16,10,45,17,53,68,70,62,64,67,https://sofifa.com/player/244827/alejandro-duarte/220039/
654,Daniel Schmidt,Pro League,29,196,90,68,69,925000.0,5000.0,2160,24,25,15,0,7,6.0,1,19,15,29,60,24,39,37,67,28,8,40,16,33,70,66,70,65,72,https://sofifa.com/player/237580/daniel-schmidt/220039/
655,Daniel Barrio Alvarez,La Liga 2,34,190,78,68,68,210000.0,3000.0,2160,24,55,35,0,8,6.0,1,49,49,53,65,52,69,42,74,31,22,30,22,29,69,67,64,66,70,https://sofifa.com/player/208507/daniel-barrio-alvarez/220039/
656,Jimmy Maurer,Major League Soccer,32,189,87,68,68,600000.0,3000.0,2131,24,76,45,2,3,6.0,1,39,40,39,50,39,56,35,67,36,16,56,14,46,68,66,66,72,69,https://sofifa.com/player/202570/jimmy-maurer/220039/
657,Luiz Lucio Reis Junior,Primeira Liga,20,194,88,68,80,2500000.0,2000.0,2070,23,51,32,1,9,7.0,1,29,31,31,60,25,34,22,63,24,14,29,14,37,68,67,63,67,69,https://sofifa.com/player/258885/luiz-lucio-reis-junior/220039/
658,Young Kwang Kim,K-League 1,38,183,87,68,68,130000.0,1000.0,2070,23,0,0,0,6,,2,56,56,27,65,51,67,30,63,33,26,68,23,63,63,72,62,71,66,https://sofifa.com/player/136686/young-kwang-kim/220039/
659,Remy Riou,Ligue 2,33,189,81,68,68,400000.0,2000.0,2068,23,73,40,0,7,7.0,2,45,53,39,66,51,61,32,75,29,28,39,23,48,68,66,65,69,66,https://sofifa.com/player/168965/remy-riou/220039/
660,Declan Rudd,Championship,30,191,85,68,68,800000.0,10000.0,1980,22,49,24,0,7,6.0,1,54,46,50,66,34,46,31,64,24,22,57,43,39,70,62,62,65,71,https://sofifa.com/player/188657/declan-rudd/220039/
661,Santiago Mele,Primera Division,23,184,79,68,76,2300000.0,4000.0,1890,21,0,0,0,10,,1,51,25,55,73,42,63,28,41,26,12,35,18,29,70,63,60,65,70,https://sofifa.com/player/259259/santiago-mele/220039/
662,Lionel Mpasi,Ligue 2,26,182,78,68,71,1200000.0,2000.0,1890,21,46,34,0,6,6.0,1,45,46,35,66,58,61,21,68,21,18,35,32,42,70,66,65,66,69,https://sofifa.com/player/223150/lionel-mpasi/220039/
663,Jose Carvallo,Primera Division,35,182,82,68,68,130000.0,500.0,1881,21,55,37,3,6,7.0,1,52,54,46,65,55,46,23,40,43,22,23,13,50,68,65,69,69,65,https://sofifa.com/player/186655/jose-carvallo/220039/
664,Oliver Sail,A-League,25,194,80,68,72,1300000.0,2000.0,1800,20,87,51,0,6,7.0,1,49,49,48,68,49,69,45,66,30,19,33,21,39,72,65,54,64,69,https://sofifa.com/player/225993/oliver-sail/220039/
665,Nicolas Penneteau,Pro League,40,185,78,68,68,130000.0,5000.0,1800,20,2,2,1,6,5.0,2,24,26,36,57,41,51,26,58,36,26,40,15,50,67,71,68,69,64,https://sofifa.com/player/18122/nicolas-penneteau/220039/
666,Kewin Oliveira Silva,Primeira Liga,26,189,84,68,72,1300000.0,4000.0,180,2,4,2,0,0,6.0,1,29,30,37,57,32,49,25,58,18,11,42,11,38,70,65,66,70,68,https://sofifa.com/player/258328/kewin-oliveira-silva/220039/
667,Ruben Cordano,Liga De Futbol Prof,22,185,74,68,76,2300000.0,500.0,180,2,0,0,0,0,,1,24,33,38,60,47,78,22,45,25,8,32,11,37,69,67,65,65,70,https://sofifa.com/player/247882/ruben-cordano/220039/
668,Fabijan Buntic,2. Bundesliga Play-offs,24,194,90,68,73,1500000.0,5000.0,180,2,3,2,0,1,6.0,1,22,27,24,59,23,30,19,63,33,10,27,13,30,69,68,66,68,69,https://sofifa.com/player/234877/fabijan-buntic/220039/
669,Victor Hugo Silva Braga,Primeira Liga - Play-offs,29,193,87,68,69,925000.0,3000.0,180,2,6,5,0,2,7.0,1,47,45,30,60,45,59,33,75,23,20,31,23,32,68,66,69,65,70,https://sofifa.com/player/229501/victor-hugo-silva-braga/220039/
670,Simone Colombi,Serie A,30,188,83,68,68,800000.0,2000.0,180,2,3,3,0,0,5.0,1,45,35,57,60,36,77,40,49,26,20,34,23,55,70,65,53,67,71,https://sofifa.com/player/189430/simone-colombi/220039/
671,Ivo Filipe Da Palma Goncalves,Segunda Liga,37,186,79,68,68,130000.0,1000.0,1710,19,0,0,0,4,,1,18,20,55,70,29,62,39,57,38,26,53,17,57,65,68,64,70,65,https://sofifa.com/player/201186/ivo-filipe-da-palma-goncalves/220039/
672,Sondre Rossbach,Eliteserien,25,189,80,68,72,1300000.0,2000.0,1530,17,40,28,0,2,6.0,1,48,50,50,66,55,70,44,65,30,18,65,15,48,69,65,66,65,72,https://sofifa.com/player/213729/sondre-rossbach/220039/
673,David Stockdale,Championship,35,191,84,68,68,130000.0,2000.0,1530,17,42,25,0,8,6.0,1,28,33,24,62,37,51,25,59,39,22,49,43,42,68,66,69,67,70,https://sofifa.com/player/182207/david-stockdale/220039/
674,Alex Dominguez Romero,La Liga 2,22,186,82,68,78,2300000.0,3000.0,1473,17,47,23,1,6,6.0,1,39,47,56,66,45,51,36,41,20,15,38,13,43,67,66,67,66,68,https://sofifa.com/player/243201/alex-dominguez-romero/220039/
675,Gaetan Coucke,Pro League,22,187,83,68,75,2100000.0,4000.0,1440,16,0,0,0,2,,1,40,37,46,63,34,62,31,58,24,10,41,15,32,69,67,66,64,68,https://sofifa.com/player/234903/gaetan-coucke/220039/
676,Nathan Baxter,League One,22,188,76,68,75,2100000.0,4000.0,1387,16,51,35,2,6,7.0,1,37,46,28,53,31,58,31,52,25,12,42,11,42,68,69,65,72,69,https://sofifa.com/player/234803/nathan-baxter/220039/
677,Masaaki Murakami,J2-League,28,185,85,68,68,850000.0,2000.0,1260,14,0,0,0,8,,1,29,38,23,64,58,64,28,60,35,7,53,16,41,69,68,66,66,69,https://sofifa.com/player/260323/masaaki-murakami/220039/
678,Asier Riesgo Unamuno,La Liga 2,37,187,72,68,68,130000.0,2000.0,1260,14,41,26,0,5,7.0,1,52,53,50,61,58,60,37,68,34,22,43,13,53,68,69,65,68,67,https://sofifa.com/player/110974/asier-riesgo-unamuno/220039/
679,Il Gyu Park,J-League,31,180,76,68,68,650000.0,2000.0,1080,12,0,0,0,4,,1,45,33,44,68,40,67,44,42,15,19,58,16,40,71,54,61,71,73,https://sofifa.com/player/246806/il-gyu-park/220039/
680,Ezequiel Centurion,J-League,24,184,79,68,74,1500000.0,4000.0,1080,12,0,0,0,4,,1,42,38,45,66,40,71,29,69,33,11,33,17,43,68,66,67,68,68,https://sofifa.com/player/246236/ezequiel-centurion/220039/
681,Sergio Roman,Liga BetPlay,26,190,76,68,73,1400000.0,650.0,1080,12,30,16,0,4,6.0,1,41,46,34,52,45,59,32,68,21,23,23,23,34,69,64,59,70,74,https://sofifa.com/player/221704/sergio-roman/220039/
682,Peter Abrahamsson,Allsvenskan,32,190,90,68,68,600000.0,2000.0,1020,12,30,13,0,6,6.0,1,41,42,38,61,36,58,25,70,24,28,42,17,49,69,70,68,68,66,https://sofifa.com/player/192201/peter-abrahamsson/220039/
683,Oleksiy Shevchenko,Premier League,29,188,82,68,68,825000.0,500.0,0,0,0,0,0,0,,1,32,15,35,62,33,50,22,72,22,13,48,10,28,67,66,68,68,68,https://sofifa.com/player/244584/oleksiy-shevchenko/220039/
684,Adam Jakubech,Ligue 1,24,188,82,68,72,1400000.0,8000.0,0,0,0,0,0,0,,1,36,44,35,63,24,60,29,70,19,10,39,10,51,71,63,64,67,69,https://sofifa.com/player/240371/adam-jakubech/220039/
685,Yehvann Diouf,Ligue 1,21,184,74,68,76,2300000.0,5000.0,0,0,0,0,0,0,,1,45,44,35,54,38,62,44,52,26,15,39,11,44,69,68,67,69,70,https://sofifa.com/player/235633/yehvann-diouf/220039/
686,Kosuke Nakamura,Primeira Liga,26,185,82,68,72,1300000.0,3000.0,0,0,0,0,0,0,,1,43,35,60,70,53,65,25,61,31,9,37,13,40,71,62,69,64,71,https://sofifa.com/player/232562/kosuke-nakamura/220039/
687,Boris Radunovic,Serie A,25,194,84,68,70,1200000.0,9000.0,0,0,0,0,0,0,,1,42,41,35,54,41,55,26,70,24,22,36,22,53,69,68,64,69,71,https://sofifa.com/player/231073/boris-radunovic/220039/
688,Mile Svilar,Primeira Liga,21,189,83,68,80,2600000.0,3000.0,0,0,0,0,0,0,,1,60,55,66,70,54,71,32,61,28,13,48,37,41,70,64,63,65,70,https://sofifa.com/player/230872/mile-svilar/220039/
689,Michael Zetterer,Bundesliga,25,187,81,68,72,1300000.0,4000.0,0,0,0,0,0,0,,1,39,44,32,68,40,68,38,69,27,19,27,15,39,67,66,69,65,71,https://sofifa.com/player/227370/michael-zetterer/220039/
690,Nils Korber,Bundesliga,24,187,83,68,73,1500000.0,10000.0,0,0,0,0,0,0,,1,33,37,46,61,43,63,28,55,22,14,21,15,25,70,64,59,67,74,https://sofifa.com/player/219937/nils-korber/220039/
691,Frank Fielding,Championship,33,180,76,68,68,400000.0,9000.0,0,0,0,0,0,0,,1,42,39,44,68,45,63,31,64,38,21,37,22,41,66,67,60,65,73,https://sofifa.com/player/169493/frank-fielding/220039/
692,Rob Elliot,Championship,35,190,94,68,68,130000.0,9000.0,0,0,0,0,0,0,,1,42,34,54,58,42,52,31,71,12,22,35,43,52,70,65,74,68,69,https://sofifa.com/player/167931/rob-elliot/220039/
693,Alexander Walke,Admiral Bundesliga,38,189,88,68,68,130000.0,5000.0,0,0,0,0,0,0,,1,38,33,41,61,42,70,38,70,43,22,64,31,30,66,68,72,73,64,https://sofifa.com/player/121134/alexander-walke/220039/
694,Dong Geon No,K-League 1,29,190,88,67,67,700000.0,2000.0,990,11,0,0,0,3,,1,43,41,48,61,45,61,24,72,42,16,23,25,67,67,66,65,66,68,https://sofifa.com/player/221700/dong-geon-no/220039/
695,Niki Maenpaa,Serie B,36,190,86,67,67,110000.0,3000.0,990,11,32,24,0,4,7.0,1,33,40,55,66,30,50,38,62,32,16,33,14,39,68,68,62,66,65,https://sofifa.com/player/135587/niki-maenpaa/220039/
696,Miguel San Roman Ferrandiz,Segunda B - Group 5,23,189,79,67,75,2000000.0,3000.0,900,10,0,0,0,2,,1,25,26,38,61,35,43,31,55,15,11,33,18,40,66,67,68,65,67,https://sofifa.com/player/242802/miguel-san-roman-ferrandiz/220039/
697,Eray Birnican,Super Lig,32,188,89,67,67,500000.0,5000.0,900,10,27,11,0,4,6.0,1,52,52,55,60,55,59,32,71,42,13,45,24,47,67,60,53,73,72,https://sofifa.com/player/178143/eray-birnican/220039/
698,Kenny Steppe,Pro League,32,185,70,67,67,500000.0,4000.0,900,10,3,3,0,2,6.0,1,43,45,53,63,60,67,31,53,26,16,46,37,46,67,66,62,66,69,https://sofifa.com/player/175934/kenny-steppe/220039/
699,Andre Filipe M Ribeiro Ferreira,Primeira Liga,25,193,79,67,73,1300000.0,3000.0,90,1,5,3,0,1,8.0,1,38,39,59,63,55,71,33,76,27,19,41,20,35,67,66,59,65,69,https://sofifa.com/player/244020/andre-filipe-m-ribeiro-ferreira/220039/
700,Abdul Manaf Nurudeen,Pro League,22,190,77,67,77,2000000.0,3000.0,90,1,0,0,0,0,,1,18,29,26,50,44,63,20,38,26,13,27,19,23,73,57,59,67,77,https://sofifa.com/player/239076/abdul-manaf-nurudeen/220039/
701,Eric Oelschlagel,Eredivisie,25,193,85,67,71,1100000.0,4000.0,90,1,1,1,0,1,7.0,1,37,40,34,66,30,53,30,70,24,11,30,18,32,69,64,58,63,69,https://sofifa.com/player/232107/eric-oelschlagel/220039/
702,Sosha Makani,Eliteserien Play-offs,34,192,80,67,67,170000.0,1000.0,90,1,0,0,0,0,,1,43,46,36,59,65,55,40,65,23,22,57,28,30,67,66,60,66,72,https://sofifa.com/player/217441/sosha-makani/220039/
703,Philipp Klewin,2. Bundesliga,27,192,86,67,70,1000000.0,3000.0,90,1,6,4,0,1,8.0,1,43,40,35,64,55,51,30,68,24,17,18,22,29,67,63,60,69,66,https://sofifa.com/player/211827/philipp-klewin/220039/
704,Vitus Eicher,2. Bundesliga,30,191,85,67,67,675000.0,6000.0,90,1,3,0,0,0,4.0,1,46,44,48,56,31,67,36,72,37,23,13,14,43,67,66,61,67,69,https://sofifa.com/player/200466/vitus-eicher/220039/
705,Laurent Henkinet,Pro League,28,188,88,67,68,800000.0,5000.0,90,1,4,3,0,0,6.0,1,52,53,64,63,50,67,28,68,20,19,38,35,30,68,67,62,65,66,https://sofifa.com/player/200076/laurent-henkinet/220039/
706,Mathieu Gorgelin,Ligue 2,30,187,83,67,67,675000.0,2000.0,90,1,1,0,0,0,6.0,1,47,48,40,65,46,58,30,70,15,17,20,14,49,66,64,67,66,68,https://sofifa.com/player/199721/mathieu-gorgelin/220039/
707,Julio Gonzalez,Liga MX,30,182,80,67,68,775000.0,4000.0,855,10,30,14,0,3,6.0,1,44,44,58,68,40,72,40,63,22,16,45,13,28,66,64,64,68,64,https://sofifa.com/player/187363/julio-gonzalez/220039/
